name,lat,lon,date,path
bonny_island,4.44,7.17,2025-06-15,c654687ea07f03ae2fc2ebaf527808aa\response.tiff
brass,4.3167,6.2333,2025-06-15,6d1be649eb6f79538bfa9535a0baf7c9\response.tiff
forcados,5.35,5.3667,2025-06-15,8e304ae882615fdfe8b34f48c402c40f\response.tiff
escravos,5.5833,5.1833,2025-06-15,f2543fd4ecde3d8629927856cc489014\response.tiff
nembe,4.5333,6.4,2025-06-15,6bd601453536a2741a3ad444782253ff\response.tiff
koluama,4.6333,5.9833,2025-06-15,d5387129e7d17495d80b4a4dab5a948f\response.tiff
opobo,4.5333,7.5167,2025-06-15,19f63d4186eb6e1f64fc06f29e534943\response.tiff
ayetoro,6.1167,4.6833,2025-06-15,0dd55fb19b5874bc286ee97359de9967\response.tiff
awoye,6.0833,4.6167,2025-06-15,b05b213e60ae63d2c4689a399ad804cb\response.tiff
akassa,4.35,6.0667,2025-06-15,d822bdb6718ce25c8d97e9585244bbf8\response.tiff
san_bartholomew_bay,4.4833,5.85,2025-06-15,d7b03d9aea1bae2153168ac7146ee78b\response.tiff
digitari,4.5167,6.1,2025-06-15,45699983f6ae451a004285cd18e01f0c\response.tiff
bonny_island,4.44,7.17,2025-01-15,c16b9810831314bfa988050816865beb\response.tiff
bonny_island,4.44,7.17,2025-12-15,0fbf91efcb0c1ceaba947c954a88417a\response.tiff
brass,4.3167,6.2333,2025-01-15,951d68b356b2786ec9b7966ff476b58b\response.tiff
brass,4.3167,6.2333,2025-12-15,cb506ab09747d02f237560741d430c36\response.tiff
forcados,5.35,5.3667,2025-01-15,bb66de03d76b428fc960bd6bb1bcd617\response.tiff
forcados,5.35,5.3667,2025-12-15,5123a42a557b8e22a7be1cd2f96a3c4a\response.tiff
escravos,5.5833,5.1833,2025-01-15,4a9f9e024d06a3f9e7d96ec58dc8c2c0\response.tiff
escravos,5.5833,5.1833,2025-12-15,57d944d05194d1c83b400b90bcde52c5\response.tiff
nembe,4.5333,6.4,2025-01-15,35c32219e3ecd5b550b033084b56d4e2\response.tiff
nembe,4.5333,6.4,2025-12-15,02ed86a852acc279802b6f8d8da1df00\response.tiff
koluama,4.6333,5.9833,2025-01-15,ff2ec4cd2fc9f7c3f13eaabcbc96abf4\response.tiff
koluama,4.6333,5.9833,2025-12-15,b71baaea2fa18a3babaa09f0b80f3d92\response.tiff
opobo,4.5333,7.5167,2025-01-15,4922438d9ca0861c990235c5187f8d11\response.tiff
opobo,4.5333,7.5167,2025-12-15,5afa49f29a07ee4febab2857a122f9e9\response.tiff
ayetoro,6.1167,4.6833,2025-01-15,44ba92ecb7be2437e302140fa2bd0b6c\response.tiff
ayetoro,6.1167,4.6833,2025-12-15,594a3bcc750457545bc0e4686530ed9d\response.tiff
awoye,6.0833,4.6167,2025-01-15,bbc5356cf3f0915d85c156c57cd38bbc\response.tiff
awoye,6.0833,4.6167,2025-12-15,5dae6688bc6b9b96047b9b38634555df\response.tiff
akassa,4.35,6.0667,2025-01-15,b9592784f933ab1fa29eed579f92e14c\response.tiff
akassa,4.35,6.0667,2025-12-15,420e8ba6b1f1a3c216fa03269d97d25b\response.tiff
san_bartholomew_bay,4.4833,5.85,2025-01-15,cebfd21850525384c156795b4134efeb\response.tiff
san_bartholomew_bay,4.4833,5.85,2025-12-15,14893a44181d0ccd19be0d245b6e24cd\response.tiff
digitari,4.5167,6.1,2025-01-15,f18e39f9b21b902eb92ffb751529b0aa\response.tiff
digitari,4.5167,6.1,2025-12-15,a2cb110ac65f632129e3a421e8b60378\response.tiff
bonny_island,4.44,7.17,2025-01-15,701317361cf0a0fe81682a384e3b6d7d\response.tiff
bonny_island,4.44,7.17,2025-12-15,bfa9bddb948038483908c5135ce27e2c\response.tiff
brass,4.3167,6.2333,2025-01-15,f4525414bfd77a24c76fc4878e1ea9b6\response.tiff
brass,4.3167,6.2333,2025-12-15,3df182668938ce9830caca7d66ee44a0\response.tiff
forcados,5.35,5.3667,2025-01-15,3752b072ff204632daafed14e04ba38b\response.tiff
forcados,5.35,5.3667,2025-12-15,71a2704beadc5a6adc16f8c2fd4e08fb\response.tiff
escravos,5.5833,5.1833,2025-01-15,45f349684f7e849cf92eb74831678209\response.tiff
escravos,5.5833,5.1833,2025-12-15,e78ab4a8837a00e6ae793659019828ab\response.tiff
nembe,4.5333,6.4,2025-01-15,c6c5f73276ca6d4204683862a61d7a75\response.tiff
nembe,4.5333,6.4,2025-12-15,517c68ea848df46e5c1514f196743df6\response.tiff
koluama,4.6333,5.9833,2025-01-15,59abf3564965bb9d52900edc863efbfe\response.tiff
koluama,4.6333,5.9833,2025-12-15,58e76d2bbe815dc869d827ed8673621f\response.tiff
opobo,4.5333,7.5167,2025-01-15,10ae7b12232a77656ccbd76c651a5a10\response.tiff
opobo,4.5333,7.5167,2025-12-15,6f221da9aad8b1d1e7e0eb2f384aae1c\response.tiff
ayetoro,6.1167,4.6833,2025-01-15,a0fd97bd908cadbc2f89fe90390c4992\response.tiff
ayetoro,6.1167,4.6833,2025-12-15,b288ac09f82b6615d2fe19b6410a7da4\response.tiff
awoye,6.0833,4.6167,2025-01-15,68279a28961589b9febc25432e655dee\response.tiff
awoye,6.0833,4.6167,2025-12-15,cf25fe0495eade131602823a7d197dd8\response.tiff
akassa,4.35,6.0667,2025-01-15,57847cf15dd6ca4701ece02d860b9bc9\response.tiff
akassa,4.35,6.0667,2025-12-15,e58898751a20d1b8d34a63b65a8216ac\response.tiff
