folder,label,cloud_frac,nodata_frac,bad_frac,flag
a0fd97bd908cadbc2f89fe90390c4992,ayetoro @ 2025-01-15,0.000,0.000,0.000,CLEAN
c3fbff59a1777281af042bbb5d7ba32d,digitari @ 2025-01-15,0.000,0.000,0.000,CLEAN
f18e39f9b21b902eb92ffb751529b0aa,digitari @ 2025-01-15,0.000,0.000,0.000,CLEAN
45699983f6ae451a004285cd18e01f0c,digitari @ 2025-06-15,0.000,0.000,0.000,CLEAN
44ba92ecb7be2437e302140fa2bd0b6c,ayetoro @ 2025-01-15,0.000,0.000,0.000,CLEAN
c6c5f73276ca6d4204683862a61d7a75,nembe @ 2025-01-15,0.000,0.000,0.000,CLEAN
d7b03d9aea1bae2153168ac7146ee78b,san_bartholomew_bay @ 2025-06-15,0.000,0.000,0.000,CLEAN
3752b072ff204632daafed14e04ba38b,forcados @ 2025-01-15,0.000,0.000,0.000,CLEAN
bb66de03d76b428fc960bd6bb1bcd617,forcados @ 2025-01-15,0.000,0.000,0.000,CLEAN
59abf3564965bb9d52900edc863efbfe,koluama @ 2025-01-15,0.000,0.000,0.000,CLEAN
ff2ec4cd2fc9f7c3f13eaabcbc96abf4,koluama @ 2025-01-15,0.000,0.000,0.000,CLEAN
10ae7b12232a77656ccbd76c651a5a10,opobo @ 2025-01-15,0.000,0.000,0.000,CLEAN
594a3bcc750457545bc0e4686530ed9d,ayetoro @ 2025-12-15,0.000,0.000,0.000,CLEAN
b288ac09f82b6615d2fe19b6410a7da4,ayetoro @ 2025-12-15,0.000,0.000,0.000,CLEAN
a630c2816339ec29cdbba1ce4402504e,san_bartholomew_bay @ 2025-01-15,0.000,0.000,0.000,CLEAN
cebfd21850525384c156795b4134efeb,san_bartholomew_bay @ 2025-01-15,0.000,0.000,0.000,CLEAN
4af2c5482478a84b9bf1282fbc7a8d57,ayetoro @ 2025-01-15,0.000,0.000,0.000,CLEAN
8c53fecf565efe3272b8bae7334da91d,ayetoro @ 2025-01-15,0.000,0.000,0.000,CLEAN
5f1d47697905e54e0b355234eed14370,5f1d47697905,0.000,0.000,0.000,CLEAN
45f349684f7e849cf92eb74831678209,escravos @ 2025-01-15,0.000,0.000,0.000,CLEAN
4a9f9e024d06a3f9e7d96ec58dc8c2c0,escravos @ 2025-01-15,0.000,0.000,0.000,CLEAN
d5387129e7d17495d80b4a4dab5a948f,koluama @ 2025-06-15,0.000,0.000,0.000,CLEAN
